party,party_sentence,topic_code,coalition_sentence,similarity_score
SPD,"Die Prinzipien offenen Regierungshandelns - Transparenz, Partizipation und Zusammenarbeit - sind für uns handlungsleitend.",202.1,"Uns leiten die Prinzipien offenen Regierungshandelns – Transparenz, Partizipation und Zusammenarbeit.",0.9826514
SPD,Einseitige Schritte von allen Seiten erschweren die Friedensbemühungen und müssen unterbleiben.,106,Einseitige Schritte erschweren die Friedensbemühungen und müssen unterbleiben.,0.9781287
SPD,"Die rechtlichen Rahmenbedingungen für gemeinwohlorientiertes Wirtschaften, wie zum Beispiel für Genossenschaften, Sozialunternehmen, Integrationsunternehmen und Unternehmen in Verantwortungseigentum, werden wir verbessern.",416.2,"Wir verbessern die rechtlichen Rahmenbedingungen für gemeinwohlorientiertes Wirtschaften, wie zum Beispiel für Genossenschaften, Sozialunternehmen, Integrationsunternehmen.",0.96613693
SPD,Die Pandemie hat die Verwundbarkeit unseres Gesundheitssystems offengelegt.,504,Die Pandemie hat uns die Verletzlichkeit unseres Gesundheitswesens vor Augen geführt.,0.96512663
SPD,Wir sind für einen Beitritt der EU zur Europäischen Menschenrechtskonvention.,201.2,Wir unterstützen den Beitritt der EU zur Europäischen Menschenrechtskonvention.,0.96404904
SPD,Der Ausbau dieser Infrastrukturen muss dem Bedarf vorausgehen.,411,Der Ausbau der Ladeinfrastruktur muss dem Bedarf vorausgehen.,0.96335804
SPD,und absolute Ausnahmen nur im begründeten Einzelfall möglich sein werden – öffentlich nachvollziehbar dokumentiert.,105,"Nur im begründeten Einzelfall, der öffentlich nachvollziehbar dokumentiert werden muss, kann es Ausnahmen geben.",0.9631566
SPD,"Dazu zählt auch, dass der Weg zu einer friedlichen Lösung des Ukrainekonflikts und damit einhergehend die Beendigung der Sanktionen maßgeblich von der Umsetzung der Minsker Vereinbarungen abhängt.",106,Der Weg zu einer friedlichen Lösung des Konflikts in der Ostukraine und die Aufhebung der diesbezüglichen Sanktionen hängt von der vollständigen Umsetzung der Minsker Vereinbarungen ab.,0.9594644
SPD,Die NATO ist und bleibt ein tragender Pfeiler der transatlantischen Partnerschaft und für Europas Sicherheit unverzichtbar.,104,Das transatlantische Bündnis ist zentraler Pfeiler und die NATO unverzichtbarer Teil unserer Sicherheit.,0.957444
SPD,"Bis 2030 wollen wir mindestens 75 Prozent des Schienennetzes elektrifizieren,",416.2,Bis 2030 wollen wir 75 Prozent des Schienennetzes elektrifizieren und innovative Antriebstechnologien unterstützen.,0.9555916
SPD,Dazu werden wir eine nationale Strategie für die Förderung gemeinwohlorientierter Unternehmen und sozialer Innovationen entwickeln.,416.2,"Wir erarbeiten eine nationale Strategie für Sozialunternehmen, um gemeinwohlorientierte Unternehmen und soziale Innovationen stärker zu unterstützen.",0.95523936
SPD,"Auch werden wir das Zusatzprotokoll zum Sozialpakt der Vereinten Nationen ratifizieren, um Be- schwerdeverfahren zur Einhaltung der Rechte des Paktes zu ermöglichen.",107,Das Zusatzprotokoll zum Sozialpakt der VN werden wir ratifizieren.,0.9449216
SPD,"Eine entscheidende Aufgabe wird sein, die Kommunen auch finanziell dauerhaft in die Lage zu versetzen, Kunst und Kultur aus eigener Kraft zu fördern.",502,Kommunen müssen finanziell dauerhaft Kunst und Kultur aus eigener Kraft fördern können.,0.9442172
SPD,"Wir unterstützen eine Initiative für ein globales Staateninsolvenzverfahren, das staatliche und vor allem private Gläubiger miteinbezieht und das Schuldenerlasse für besonders gefährdete Ländergruppen formuliert und umsetzt.",107,"Wir unterstützen eine Initiative für ein kodifiziertes internationales Staateninsolvenzverfahren, das alle Gläubiger miteinbezieht und Schuldenerleichterungen für besonders gefährdete Ländergruppen umsetzt.",0.9441406
SPD,Wir werden die Nationalen Aktionspläne im Rahmen der Open Government Partnership Deutschlands umsetzen und weiterentwickeln.,202.1,Wir wollen die Nationalen Aktionspläne im Rahmen der Open-Government- Partnership (OGP) Deutschlands umsetzen und weiterentwickeln.,0.941817
SPD,Wir werden den gesetzlichen Mindestlohn zunächst auf mindestens zwölf Euro erhöhen,412,Mindestlohn Wir werden den gesetzlichen Mindestlohn in einer einmaligen Anpassung auf zwölf Euro pro Stunde erhöhen.,0.93273044
SPD,Gute Wissenschaft braucht gute Arbeitsbedingungen.,701,Arbeitsbedingungen in der Wissenschaft Gute Wissenschaft braucht verlässliche Arbeitsbedingungen.,0.9324342
SPD,Wir werden Deutschland zu einem Zentrum der Batteriezellenfertigung und des Recyclings gebrauchter Batterien machen.,416.2,"Deutschland soll zu einem Zentrum für Forschung, Fertigung und Recycling von Batteriezellen werden.",0.9301102
SPD,Für alle Erwerbstätigen muss eine gute und verlässliche Rente nach vielen Jahren Arbeit sicher sein.,504,Altersvorsorge Eine gute und verlässliche Rente nach vielen Jahren Arbeit ist für die Beschäftigten wichtig.,0.9289113
SPD,Es muss zu einem Stopp des völkerrechtswidrigen Siedlungsbaus kommen.,103.1,Wir fordern den Stopp des völkerrechtswidrigen Siedlungsbaus.,0.92469406
SPD,"Davon sollen 0,2 Prozent des Bruttonationaleinkommens für die ärmsten Entwicklungsländer (LDCs) verwendet werden.",107,"In diesem Rahmen setzen wir 0,2 Prozent des BNE für die ärmsten Länder des Globalen Südens (LDC) ein.",0.92000633
SPD,"Grundlegend notwendig hierfür ist die Bewahrung der Netzneutralität, für welche wir einstehen werden.",202.1,Wir sichern die Netzneutralität.,0.9168144
SPD,"Dafür schließen wir einen Pakt für berufsbildende Schulen von Bund, Ländern und Schulträgern zusammen mit den Sozialpartnern.",411,"Ausbildung Zur Stärkung und Modernisierung berufsbildender Schulen legen wir mit Ländern, Kommunen und relevanten Akteuren einen Pakt auf.",0.91624516
SPD,Eine besondere Rolle kommt dem Erhalt der Wälder zu.,501,Die Waldbewirtschaftung spielt dabei eine wichtige Rolle.,0.9161655
SPD,Wir stellen uns konsequent gegen Diskriminierung,503,Jeglicher Diskriminierung wirken wir entgegen.,0.91516
SPD,"Wir arbeiten auch daran, dass die Weltgesundheitsorganisation WHO durch einen mutigen Reformprozess gestärkt wird.",107,Die Weltgesundheitsorganisation (WHO) soll reformiert und gestärkt werden.,0.91498137
SPD,Wir werden deshalb bundesweit vernetzte Kompetenzzentren für digitales Lehren und Lernen aufbauen und unterstützen.,506,"Gemeinsam mit den Ländern werden wir die Einrichtung, den Betrieb und die Vernetzung von Kompetenzzentren für digitales und digital gestütztes Unterrichten in Schule und Weiterbildung fördern und eine zentrale Anlaufstelle für das Lernen und Lehren in der digitalen Welt schaffen.",0.91464496
SPD,"Wir werden starke Kinderrechte auf Schutz, Beteiligung und Förderung und den Vorrang des Kindeswohls im Grundgesetz verankern.",706,Kinder und Jugend Wir wollen die Kinderrechte ausdrücklich im Grundgesetz verankern und orientieren uns dabei maßgeblich an den Vorgaben der UN-Kinderrechtskonvention.,0.9119424
SPD,"und dabei mehr Transparenz, mehr Beteiligung, mehr Demokratie wagen.",202.1,Transparenz Wir wollen durch mehr Transparenz unsere Demokratie stärken.,0.91173846
SPD,"Wir werden im Lebensmittelhandel unfairen Handelspraktiken einen Riegel vorschieben, denn sie schaden Verbraucher*innen, Landwirt*innen und fair handelnden Wettbewerbern.",403,"Wir gehen gegen unfaire Handelspraktiken vor und prüfen, ob der Verkauf von Lebensmitteln unter Produktionskosten unterbunden werden kann.",0.9112683
SPD,Wir wollen die gesetzliche Rente stärken und stehen für eine dauerhaft stabile Rentenleistung und ein dauerhaftes Rentenniveau von mindestens 48 Prozent.,504,Wir werden daher die gesetzliche Rente stärken und das Mindestrentenniveau von 48 Prozent (Definition vor der kürzlich durchgeführten Statistikrevision) dauerhaft sichern.,0.91035515
SPD,"Wir werden dafür sorgen, dass alle Kinder und Jugendlichen unabhängig von ihrer Herkunft die gleichen Chancen haben, das Bestmögliche aus ihrem Leben zu machen.",503,"Wir wollen gemeinsam darauf hinwirken, dass jedes Kind die gleiche Chance auf Entwicklung und Verwirklichung hat.",0.9098412
SPD,"Gemeinsam mit den Kirchen wollen wir einen Weg erarbeiten, ihr Arbeitsrecht dem allgemeinen Arbeits- und Tarifrecht sowie der Betriebsverfassung anzugleichen.",701,"Gemeinsam mit den Kirchen prüfen wir, inwiefern das kirchliche Arbeitsrecht dem staatlichen Arbeitsrecht angeglichen werden kann.",0.90521705
